title,link,reviewer,stars,gm,year,sentiment_sentiment_neg,sentiment_sentiment_neu,sentiment_sentiment_pos,sentiment_sentiment_compound,review_length,gm_predicted,gm_predicted_prob
Happy End,https://www.rogerebert.com/reviews/happy-end-2017,Peter Sobczynski,3.5,False,2017,-0.3228346456692913,0.051051051051051566,-0.12396694214876036,0.9911977994498626,-0.46632378153318643,False,6.986211e-39
The Greatest Showman,https://www.rogerebert.com/reviews/the-greatest-showman-2017,Sheila O'Malley,3.5,False,2017,-0.5433070866141732,-0.20120120120120166,0.45454545454545436,1.0000000000000004,0.042615723732549515,True,0.99991465
Phantom Thread,https://www.rogerebert.com/reviews/phantom-thread-2017,Glenn Kenny,4.0,False,2017,-0.4330708661417323,0.3453453453453452,-0.42148760330578516,0.9740935233808454,-0.11009061964241984,True,0.97778803
Star Wars: The Last Jedi,https://www.rogerebert.com/reviews/star-wars-the-last-jedi-2017,Matt Zoller Seitz,4.0,False,2017,-0.19685039370078738,-0.18918918918918948,0.07438016528925595,0.9973993498374596,-0.013592946362968483,True,0.99991465
Quest,https://www.rogerebert.com/reviews/quest-2017,Sheila O'Malley,4.0,False,2017,-0.45669291338582674,0.40540540540540526,-0.47107438016528924,0.8789697424356091,-0.2478569679157483,False,0.17171022
"I, Tonya",https://www.rogerebert.com/reviews/i-tonya-2017,Christy Lemire,3.5,False,2017,-0.14960629921259838,-0.1231231231231229,-0.06611570247933884,0.9592898224556141,-0.30345334313005146,False,0.1267427
My Happy Family,https://www.rogerebert.com/reviews/my-happy-family-2017,Matt Fagerholm,4.0,False,2017,-0.6692913385826771,0.33333333333333304,-0.14876033057851246,0.9982995748937237,-0.2277736958119031,False,0.15851481
Loveless,https://www.rogerebert.com/reviews/loveless-2017,Godfrey Cheshire,3.5,False,2017,-0.2913385826771654,0.26726726726726735,-0.4545454545454545,-0.5172793198299573,-0.31961792799412203,False,0.15663753
The Other Side of Hope,https://www.rogerebert.com/reviews/the-other-side-of-hope-2017,Glenn Kenny,3.5,False,2017,-0.25984251968503935,0.3153153153153152,-0.5537190082644629,-0.9582895723930982,-0.6097232427136909,False,2.0475193e-30
Darkest Hour,https://www.rogerebert.com/reviews/darkest-hour-2017,Godfrey Cheshire,4.0,False,2017,-0.2992125984251969,-0.06306306306306286,0.008264462809917328,0.9955988997249314,-0.2978202302228754,False,0.13511182
Coco,https://www.rogerebert.com/reviews/coco-2017,Matt Zoller Seitz,4.0,False,2017,-0.4724409448818897,0.09909909909909942,-0.03305785123966931,0.9979994998749689,-0.28092089150134714,False,0.1371486
Call Me by Your Name,https://www.rogerebert.com/reviews/call-me-by-your-name-2017,Christy Lemire,4.0,False,2017,-0.6220472440944882,-0.06306306306306286,0.3471074380165289,0.9997999499874971,-0.17609600783737456,True,0.8352427
Mudbound,https://www.rogerebert.com/reviews/mudbound-2017,Odie Henderson,4.0,False,2017,-0.07086614173228345,-0.07507507507507505,-0.2148760330578513,-0.8704676169042259,0.05400440852314481,True,0.99997544
Ichi the Killer,https://www.rogerebert.com/reviews/ichi-the-killer-2017,Simon Abrams,4.0,False,2017,0.21259842519685046,-0.27927927927927954,-0.23140495867768596,-0.9970992748187046,-0.1949546901787902,False,0.15750088
Princess Cyd,https://www.rogerebert.com/reviews/princess-cyd-2017,Sheila O'Malley,3.5,False,2017,-0.4173228346456693,-0.027027027027027195,0.0826446280991735,0.9985996499124783,-0.23952975753122707,False,0.137299
Lady Bird,https://www.rogerebert.com/reviews/lady-bird-2017,Susan Wloszczyna,3.5,False,2017,-0.5275590551181102,0.10510510510510507,0.016528925619834434,0.9973993498374596,-0.49583639480773944,False,0.0
Thank You for Your Service,https://www.rogerebert.com/reviews/thank-you-for-your-service-2017,Matt Zoller Seitz,3.5,False,2017,0.14960629921259838,-0.30930930930930955,-0.1322314049586777,-0.9940985246311578,-0.04371785451873622,True,0.9999751
Joan Didion: The Center Will Not Hold,https://www.rogerebert.com/reviews/joan-didion-the-center-will-not-hold-2017,Godfrey Cheshire,3.5,False,2017,-0.3779527559055118,-0.11111111111111072,0.14876033057851235,0.9968992248062017,-0.5057555718834191,False,0.0
One of Us,https://www.rogerebert.com/reviews/one-of-us-2017,Matt Zoller Seitz,3.5,False,2017,-0.1417322834645669,-0.0030030030030028243,-0.24793388429752072,-0.6221055263815953,-0.660053881949547,False,0.0
BPM (Beats Per Minute),https://www.rogerebert.com/reviews/bpm-2017,Glenn Kenny,3.5,False,2017,-0.25984251968503935,0.10510510510510507,-0.2644628099173554,0.8900725181295326,-0.6028655400440852,False,0.0
